model,roc_auc,accuracy,precision,recall,f1
RF (w=2.5),0.7272727272727272,0.5652173913043478,0.5714285714285714,0.6666666666666666,0.6153846153846154
LR (w=3.0),0.7196969696969696,0.5652173913043478,0.55,0.9166666666666666,0.6875
DNN-Deep,0.7196969696969696,0.6086956521739131,0.6153846153846154,0.6666666666666666,0.64
Weighted Ensemble,0.7121212121212122,0.5652173913043478,0.5714285714285714,0.6666666666666666,0.6153846153846154
GB,0.6515151515151515,0.4782608695652174,0.5,0.5833333333333334,0.5384615384615384
XGBoost,0.643939393939394,0.5652173913043478,0.5555555555555556,0.8333333333333334,0.6666666666666666
