,PC1,PC2,PC3,PC4,PC5
GSM2040049,-177.8327637424149,54.478984947352,46.18606356561832,-52.569783351968255,-30.209654471538485
GSM2040050,0.921977503713781,56.88671132214743,11.494556374499663,18.295786969258977,-14.808192215926622
GSM2040051,-106.28822078292716,-118.2801095905364,-12.204564206551039,33.99258907406095,36.683198294403354
GSM2040052,-50.73492548842709,42.30843076044724,-30.97907544345013,-22.855067349314716,-12.716830329565571
GSM2040053,-14.560044030408585,102.02651118081656,-15.301243527458535,98.89771310474931,1.1492873720277548
GSM2040054,102.2948367742298,4.83966044419163,-42.3603506127713,52.36628516060918,31.304266435087648
GSM2040055,-91.43004213744854,-35.66369096559376,-25.124738414787732,9.65830004170299,32.872639755880435
GSM2040056,14.219120303047125,68.66178797675856,-43.45246615325262,5.374425216276191,12.131597750849933
GSM2040057,18.4557303885121,38.76379965514074,-15.624416439745724,-24.740952584344065,15.485933698701288
GSM2040058,-110.66480242051898,-147.66779032203218,-7.172083951777197,15.027118355758565,1.0037051810996385
GSM2040059,-62.83937353834414,24.18852135559185,-34.04886164477521,69.45172331316103,22.890783127410863
GSM2040060,49.90151066269069,55.48584537252828,-30.754132689553682,-6.00534701801647,35.50056230877155
GSM2040061,98.34054804210342,-93.66694290177485,-62.382695493708695,-8.193278450990038,-41.833407067282664
GSM2040062,17.328097369539613,45.434820896826764,-21.90883819260188,-31.455893621525128,1.2688354837608895
GSM2040063,8.829436731211027,50.871410498333034,-1.616335512168484,28.43224392167472,-2.2334196169806737
GSM2040064,77.56167104132913,57.29390236310336,50.45116294593598,-44.89307917107956,-17.151877191660006
GSM2040065,-107.93491845987944,-111.30053730626109,85.92254818128941,-18.620919465691447,-50.96964082320721
GSM2040066,47.62983107073066,64.74279873738193,60.15312212935896,-27.39158513225371,-29.872611253030296
GSM2040067,-24.75240463014862,-56.07573055486862,86.90727385882259,-14.16542985175014,-33.59385356589518
GSM2040068,92.90825955410844,51.86682409277538,3.52780369185631,-5.6087000441688994,-2.485681813811443
GSM2040069,-9.388937492777073,39.971922612012584,-13.436883102653265,-40.47732539237673,16.23457897597924
GSM2040070,112.38648466357456,-147.56904593126293,69.53562566409045,7.7704832160885005,26.83107238067987
GSM2040071,85.44924653670915,-73.42956642445877,-59.66142056898979,44.10661393279013,-75.1223524717818
GSM2040072,32.57406697682136,32.22978807463541,10.273359392945054,27.024567980770392,-7.3165980749915045
GSM2040073,-89.35043224443467,-19.59709580049354,11.239660244344163,-56.93019859092434,4.709327221820182
GSM2040074,-52.546609789409644,21.002443072375005,-25.668041445826713,9.50412541262896,4.257031391470597
GSM2040075,68.8933868834644,-134.4298240255925,39.745426998129744,72.6742065380819,31.526787706355318
GSM2040076,12.01965360408919,-39.897766817704365,4.879348264094728,-28.997011834330703,-6.933767456182251
GSM2040077,-33.12899273238227,34.48596334894868,-42.308031094480306,-26.35959588343217,20.499855406931456
GSM2040078,-70.88177429370236,30.1034071168003,-34.24760611340157,-4.160762504128886,-42.022966257485834
GSM2040079,-24.9654748134965,28.068532854645614,-18.837487031693822,11.24219123111922,-10.632660855676674
GSM2040080,39.607566212418945,-94.56400780448573,128.44829353913264,-9.278842744829722,45.545541046922985
GSM2040081,95.00226143245308,30.812461707961035,-1.0312240245355284,-4.348327686554477,-11.770686620880833
GSM2040082,48.16440524914924,54.45235503541236,-17.830211561187355,-32.75573179556207,-11.288420317669562
GSM2040083,88.47800376460079,-30.59431862995943,-29.41443065986628,-17.495229993306083,9.459258108437064
GSM2040084,41.026497632281504,-37.69606246198126,30.13494089025997,-20.112351404438186,-23.065349272554023
GSM2040085,-223.40570471323633,-6.278856384606137,-23.73901691111825,48.60701829979113,7.075439364977355
GSM2040086,-10.932159632466112,8.300304599634469,16.319199941939655,-32.450808733494384,-13.30728383211766
GSM2040087,-112.64921591152971,28.184575714425833,-32.01216756073833,13.525110970884596,-24.376232368905768
GSM2040088,-18.38872059297569,-15.36074147785183,-15.415607687044409,47.624609828376954,-26.17141810487931
GSM2040089,-68.16803654181528,-21.688888200816844,19.289042829635623,-62.83394251717191,26.927152519759048
GSM2040090,-21.7222043737116,-25.850874914326884,19.037210463011697,-3.438435613135558,15.093656751035182
GSM2040091,99.84587142064944,-33.6478008340493,20.411114960721456,35.44355061061382,5.797961486496165
GSM2040092,57.589989586031685,36.01708903595333,-14.22525438436399,25.975814391899807,-1.0917029721322253
GSM2040093,-30.23627537348923,-61.97685051865419,-49.619983896484676,46.42174696760683,0.3368724739164514
GSM2040094,21.219805396414486,-21.63963293380028,-4.57537249835722,31.456974575113733,-47.02328944123424
GSM2040095,-43.79952248713817,-48.02922140053884,-6.215438912768546,-20.301884602333313,-91.92826365738321
GSM2040096,108.39549601218104,-36.78657586134596,22.28921545390206,37.400963422981285,12.007170566433409
GSM2040097,-42.06332465081396,-18.612721687185317,-37.12358297171857,9.813703513101629,-58.82268210133651
GSM2040098,96.05606584510969,-16.63796740993695,-31.80166046641995,24.435547113635867,4.295083200627956
GSM2040099,-68.76141220607227,46.676420312531384,-15.464744854321047,12.191548625505014,56.47160247803602
GSM2040100,25.55694028202105,20.85515295680619,-4.487981423235776,-98.68618878302755,16.603912322189256
GSM2040101,50.69943720851351,-15.927429759393354,-26.433547510153765,-69.11123613315551,39.38898316441894
GSM2040102,64.79495839138424,-58.47510250319306,-33.835345628279455,-44.32641988256557,2.1633936466451242
GSM2040103,91.89177984190718,-2.1619423283414476,-30.44197780363195,-6.803985188666659,57.66395848284033
GSM2040104,124.23619359117136,-28.323463097332212,-36.27751201530769,36.32746834215801,-54.30302982770081
GSM2040105,36.78744563065189,-35.601132702581125,-14.710474849420356,30.769334546959076,-33.50121509897994
GSM2040106,-8.838829040923349,-3.4073256910804317,-47.414869320059616,9.358913028408505,73.76469558086244
GSM2040107,38.8878519781832,45.667677792956766,58.69921757377843,-0.7065373606931118,-4.030093419592074
GSM2040108,-54.95640889535842,80.4345073724269,129.84495744643078,81.25759795997772,-71.59629261179877
GSM2040109,-64.0652274140308,-0.9736397664311874,-62.98098388728719,21.131584249026726,72.66991647161171
GSM2040110,-40.314684369954904,-1.9603848299069888,105.67879698412833,10.84455307669821,-6.7218444055453235
GSM2040111,88.780848881096,-13.842139278109649,-21.34095494520267,-74.4159974361393,58.20976649143525
GSM2040112,-18.188510244061526,65.88968045582116,5.830252575107749,17.626657458935785,9.398813459190944
