PC,Variance_Explained
PC1,0.1885417807320409
PC2,0.09473292655367717
PC3,0.06123697200460378
PC4,0.05740721424916567
PC5,0.04596505154656031
PC6,0.0388528015370499
PC7,0.023799372945777088
PC8,0.022225587803662093
PC9,0.01905195334192672
PC10,0.018505176488783193
