ID_REF,Variance
"""221728_x_at""",19.605391611276037
"""214218_s_at""",18.94809927237635
"""201909_at""",15.968972925959203
"""224588_at""",15.92844417994327
"""224590_at""",15.920161934507526
"""204409_s_at""",15.251090903620884
"""228492_at""",13.188025955051026
"""227671_at""",12.966355834123688
"""231592_at""",12.642590456249684
"""206700_s_at""",12.108880696472374
"""205000_at""",11.065044712004516
"""205048_s_at""",9.098365465013469
"""235446_at""",8.802186621661972
"""232618_at""",8.297377858944285
"""230760_at""",8.105356212940784
"""211149_at""",6.807764634888965
"""239858_at""",6.21487831261467
"""223646_s_at""",6.096072424904176
"""204410_at""",5.851742241911071
"""224589_at""",5.569440877624101
"""214983_at""",5.2785621572317885
"""207802_at""",5.240741408911035
"""223645_s_at""",5.1031194969951
"""203815_at""",4.7123774427653755
"""213831_at""",4.6313449050213045
"""207063_at""",4.302102978330783
"""236451_at""",4.217970802257371
"""205001_s_at""",4.040861454688904
"""214131_at""",4.039009954325162
"""203290_at""",3.6738309847482333
"""201884_at""",3.5389392852910824
"""238717_at""",3.5027000486927236
"""213265_at""",3.499372399938652
"""206624_at""",3.3847117372957505
"""207703_at""",3.2977612731276684
"""1560263_at""",3.24124659862682
"""214476_at""",3.1777553585908724
"""222168_at""",2.9769775944609305
"""205513_at""",2.8924688446453826
"""236598_at""",2.8320073294738277
"""205009_at""",2.7011125864751295
"""1555778_a_at""",2.627259668456253
"""206421_s_at""",2.6150962713473924
"""206029_at""",2.5823210976332756
"""204533_at""",2.54592703222367
"""205064_at""",2.5240402777210185
"""208607_s_at""",2.329435531291033
"""229479_at""",2.3165022334197563
"""236523_at""",2.2907183191141502
"""206198_s_at""",2.280372509105733
"""223761_at""",2.272024774319377
"""208191_x_at""",2.2037851447363903
"""244839_at""",2.1720047285407413
"""1559072_a_at""",2.167199995257574
"""242392_at""",2.1463624905183263
"""224795_x_at""",2.134737453900522
"""208250_s_at""",2.1307258039831445
"""206952_at""",2.1009805360102236
"""206345_s_at""",2.098618414685343
"""239186_at""",2.091422348202652
"""210297_s_at""",2.08211796946926
"""207778_at""",2.080444037575533
"""212999_x_at""",2.078865784469502
"""214842_s_at""",2.076580269371539
"""1565228_s_at""",2.0611925170788012
"""218990_s_at""",2.0470976005219628
"""204351_at""",2.034420012103745
"""210809_s_at""",2.009075905082488
"""210179_at""",2.0028537813589202
"""206211_at""",1.9936952140168365
"""242321_at""",1.985566034568814
"""205553_s_at""",1.9596886128090962
"""206535_at""",1.9484610769857196
"""204580_at""",1.9426967243104827
"""236489_at""",1.9354706114764126
"""223862_at""",1.9131155920573195
"""207733_x_at""",1.9086910513894493
"""1562102_at""",1.8895388900319112
"""203915_at""",1.8727311608752324
"""227919_at""",1.8416666646952238
"""236003_x_at""",1.8348555521130179
"""207430_s_at""",1.8324313672180366
"""229110_at""",1.8243631159667053
"""227462_at""",1.8153737641553893
"""209616_s_at""",1.8051966971245075
"""227174_at""",1.803215552597517
"""239929_at""",1.7884541039267172
"""228241_at""",1.7862280940170405
"""221671_x_at""",1.782702479405662
"""220491_at""",1.7800500341372587
"""226237_at""",1.7700391514442817
"""1569191_at""",1.7686285964783088
"""234296_s_at""",1.7625466259427744
"""230716_at""",1.7589081429003084
"""205230_at""",1.75680397383545
"""214424_s_at""",1.7545855614401638
"""227474_at""",1.7523660155626726
"""214038_at""",1.7491302615161626
"""230117_at""",1.7484504974157613
"""227952_at""",1.7382471437189622
