PC,Variance_Explained
PC1,0.355764644560459
PC2,0.21226349917782805
PC3,0.05597483905826408
PC4,0.04807172415792867
PC5,0.040156697964018474
PC6,0.03361067480329317
PC7,0.029098532285147343
PC8,0.025616461673033178
PC9,0.022965516319589183
PC10,0.020359159372163642
