PC,Variance_Explained
PC1,0.017098311098088483
PC2,0.005945624754574119
PC3,0.005111727912884167
PC4,0.004659415841813468
PC5,0.004364374813102661
PC6,0.004215839058030384
PC7,0.004122797350899085
PC8,0.00362205574067421
PC9,0.003125778649041376
PC10,0.003039072713344873
