,PC1,PC2,PC3,PC4,PC5
Sample_1,3.7002412488350576,-33.519316621942316,-0.420460296928648,15.265671575199075,-3.0090818176784495
Sample_2,0.7243661956656716,-22.690018412504173,-3.7956386517143526,8.612776265610789,3.021584678436276
Sample_3,-1.4203078997410665,-28.382771490819117,-6.585795450746548,6.428348374621072,6.510773748565586
Sample_4,0.7612855398244226,-18.823403445487436,-5.913882235902533,0.6596354977793789,1.4569331618810089
Sample_5,-1.3491819618349876,-19.28703748147018,-6.129251309822104,1.7575866296170917,3.419319054124958
Sample_6,-1.3440935081108094,-13.849956421346437,-5.889804725126262,-1.1264385711979072,1.2609286123479941
Sample_7,-0.7931917894489043,-19.98631688881909,-6.434962105731551,2.5441314174106586,3.145600822639515
Sample_8,4.40746965272699,-32.536506834485344,-3.0091608459281716,7.156498360453465,11.1193472671351
Sample_9,-1.2897350059781758,-27.86908898658163,-10.388922831866747,0.7545283965241744,3.9134891671419716
Sample_10,0.500155718355465,-26.335672477590563,-8.282244987166358,3.300626160856402,3.572398832152038
Sample_11,-0.4631211249755323,-19.226679550875055,-7.535265551443208,-2.2090408538735424,0.971544932257923
Sample_12,4.8607243800277224,-40.67482306816589,9.165368855892963,34.34258443686578,-10.779540170615256
Sample_13,-1.046960649419111,-13.78097820472095,-7.482276968012159,-2.786833631779252,0.48895678206546206
Sample_14,-0.7911936885057461,-17.08227663717487,-4.784437213652751,-0.7906549557162152,-0.7595184500773714
Sample_15,-0.5221957566818412,-22.519873528938565,-5.299908054147547,0.5406614395816771,1.7121144163766444
Sample_16,-1.6143486246240386,-18.24521842185822,-6.20600978795534,-0.28363718697753104,1.9364346208893362
Sample_17,-1.0821094375612335,-20.517383361310475,-10.29449728494188,-1.8884261934831483,1.6031431464408796
Sample_18,1.7224173265935188,-27.164823200173004,-5.45562331833331,2.4849973266938443,2.850515339947935
Sample_19,-0.7024908420843599,-23.867810352968913,-6.241427384509971,2.7118606872785036,3.607187752067217
