gene.id,Variance
2641,13297687778.281754
3630,1097088516.1579127
6750,996472284.6747515
5539,939658171.3787966
7276,667676689.1603833
4512,100515811.66238458
4513,80919699.28276756
4550,49691146.89474407
4514,38385538.79475049
3375,31423534.854879063
4519,30100346.27135257
4508,28736301.185651697
4538,22435441.96105429
2512,18231985.747334883
567,9003944.158210058
4536,6838929.5838081725
4549,6709919.374687622
378938,6510360.209285622
4535,4770510.965912477
4539,4568086.381443904
4574,3930907.8213995015
4509,3870481.1779430727
4541,1947714.1145718917
6690,1709982.0276400878
1114,1623872.5595828474
4571,1607499.5672394584
4852,1183955.6639865122
7104,1091679.502381261
6122,992190.2358283133
4577,883165.9896769524
4540,791036.7076876264
5950,780535.4310923994
2495,674655.4153631566
4537,641267.8794888549
6696,625108.4613079221
6447,621937.5321647958
100887749,605820.5839013025
216,599000.9751748758
6303,571962.7146416649
1363,565404.3693822954
4501,545929.6941171454
6222,537866.8587177614
6171,519956.7195444577
5967,519881.8853704462
6232,440613.36475995305
5500,427267.5369807161
9349,421876.91448906704
6125,400478.7613491933
2597,349392.8362182552
60,346596.6176512319
6205,346588.29217313614
2878,336662.14306073164
71,316729.1708788716
10590,315669.5455548626
619,313678.56614493666
6176,312857.4122482018
4502,296509.5475776628
7114,295017.66895676753
6230,292757.51213902305
1958,290448.3411857732
1191,287208.2816500235
7857,279660.47798647784
6277,244171.88600486185
1915,237612.24588844774
6748,237437.52730133475
514,217613.58292331832
7314,216119.39471594524
486,213694.13967555593
2353,210530.9487765141
4694,196729.8674523864
84418,195427.4767687315
6156,195279.18351776068
6129,194899.1212584134
805,192512.34582865692
8364,192412.0126949413
7076,184703.20706792106
3312,183025.60500628923
5265,175998.2983228807
4246,171961.23158889535
1350,171839.05187594172
3326,169076.48722412405
3187,164006.67887035507
4316,162175.29670889876
4572,158419.9813514104
6168,154286.6232788323
6175,152902.61803090322
6207,148432.8904746498
5692,148249.52896411918
57818,148042.0554333441
646195,145696.8946890983
125050,145638.01581661685
7316,144085.25027714903
4637,141913.78503632516
1974,135969.81118581918
6431,134506.9957916427
11337,134406.73709901117
55859,132159.10654285614
3021,131172.55551108782
1337,129579.30276199253
5997,128707.76217148792
