PC,Variance_Explained
PC1,0.46706993047734824
PC2,0.09824457457042068
PC3,0.08573046133193336
PC4,0.06977553844967183
PC5,0.06193451765311577
PC6,0.042080222238577644
PC7,0.03777785104580421
PC8,0.03401230192807716
PC9,0.030894084589107293
PC10,0.026851643316238512
