ID_REF,Variance
"""211766_s_at""",7.58629478485641
"""204475_at""",5.928161304485897
"""201909_at""",5.626944852710256
"""211357_s_at""",5.506301407102565
"""206681_x_at""",5.447377586666665
"""208473_s_at""",5.0672381350089735
"""204035_at""",4.924031322302564
"""213872_at""",4.850938968324359
"""209278_s_at""",4.76024872203077
"""205825_at""",4.659428386808975
"""210163_at""",4.6592889303
"""209392_at""",4.6265610652602565
"""205174_s_at""",4.453075657642308
"""205000_at""",4.4248528165064105
"""207412_x_at""",4.418153849692309
"""210722_at""",4.372748426342308
"""208319_s_at""",4.370294673452565
"""207062_at""",4.361192120314103
"""215076_s_at""",4.351112265660256
"""208498_s_at""",4.229932399666668
"""204533_at""",4.21332019629359
"""214157_at""",4.109325527892306
"""209598_at""",4.0499989611923075
"""AFFX-r2-Bs-dap-3_at""",4.04289626541923
"""212027_at""",3.9129866495358976
"""206262_at""",3.869113599042308
"""207077_at""",3.8640624043525644
"""202768_at""",3.857754632391025
"""202404_s_at""",3.8324532744243585
"""203485_at""",3.687525702373076
"""206784_at""",3.68112094058077
"""201116_s_at""",3.6761520255769238
"""205830_at""",3.6617491935076916
"""211985_s_at""",3.6559830671410247
"""221728_x_at""",3.6278886688423078
"""220551_at""",3.609612281806409
"""212224_at""",3.6080485906435897
"""208835_s_at""",3.5507676583500007
"""218468_s_at""",3.5414669443833326
"""204614_at""",3.5299206527358975
"""AFFX-r2-Bs-dap-M_at""",3.509766334841025
"""207802_at""",3.4995860211974352
"""211597_s_at""",3.49827394863077
"""204337_at""",3.4621582004500002
"""217238_s_at""",3.436989176089743
"""210095_s_at""",3.43656247318077
"""213047_x_at""",3.425717795307692
"""220275_at""",3.401931680725641
"""206199_at""",3.3213284624243595
"""201417_at""",3.306448016041026
"""202268_s_at""",3.3028045819923073
"""219196_at""",3.301016151785897
"""203403_s_at""",3.2725342660525647
"""218559_s_at""",3.258580723397436
"""214377_s_at""",3.2168683903858972
"""209277_at""",3.2018964530025635
"""200605_s_at""",3.199401517991026
"""203946_s_at""",3.1880728366397437
"""209560_s_at""",3.1752575874410245
"""204705_x_at""",3.1451167441166668
"""AFFX-DapX-3_at""",3.1194168241089746
"""202859_x_at""",3.118689450535898
"""33323_r_at""",3.0536524133730776
"""37020_at""",3.0374619038423076
"""211298_s_at""",3.0366232625935896
"""212657_s_at""",3.036524979242308
"""204965_at""",3.0274305026397434
"""202508_s_at""",3.0143096076141025
"""203215_s_at""",2.969315945364103
"""214324_at""",2.9276386705076933
"""206104_at""",2.920577560139744
"""211161_s_at""",2.8959909795769234
"""203889_at""",2.893027464823078
"""219140_s_at""",2.8919891833641027
"""205890_s_at""",2.8456114892858975
"""218469_at""",2.8446457937064107
"""200638_s_at""",2.827551260626924
"""214079_at""",2.8242700056897427
"""208788_at""",2.8212594464192318
"""206694_at""",2.8027228714974366
"""206135_at""",2.793817188823077
"""204409_s_at""",2.7828801682641022
"""201599_at""",2.7811349717000002
"""202539_s_at""",2.780649116364104
"""221765_at""",2.766446160191027
"""209270_at""",2.7484265888192314
"""200832_s_at""",2.741312970491027
"""AFFX-r2-Bs-thr-3_s_at""",2.7242281172333342
"""214464_at""",2.724063378791025
"""201036_s_at""",2.713001274391026
"""215223_s_at""",2.7116984104923074
"""202381_at""",2.709421041758974
"""203138_at""",2.707047739208974
"""202436_s_at""",2.7027177914756404
"""203130_s_at""",2.702671405602564
"""AFFX-DapX-M_at""",2.6722115602256413
"""202651_at""",2.660016315919231
"""212768_s_at""",2.65157763495641
"""200662_s_at""",2.6474185371858976
"""204224_s_at""",2.647127073414103
