,Variance
ENSG00000115263,68124515001.21073
ENSG00000198804,2173483952.862908
ENSG00000118271,1465264418.188452
ENSG00000254647,1086238627.5441668
ENSG00000204983,704594131.5180033
ENSG00000157005,599687328.0090058
ENSG00000115386,598460419.2439494
ENSG00000121351,462288329.305136
ENSG00000198886,455842210.67205024
ENSG00000087086,406829345.0935152
ENSG00000251562,391622843.18524086
ENSG00000198727,251083567.90303037
ENSG00000198712,247547389.80422887
ENSG00000108849,194611580.96695536
ENSG00000198938,126824961.45387807
ENSG00000153002,120965778.76770297
ENSG00000091704,111954794.2453827
ENSG00000142789,102191270.69526891
ENSG00000198899,84792432.55060627
ENSG00000156508,75201437.71894853
ENSG00000172023,73651433.099941
ENSG00000198763,66816184.06968794
ENSG00000089199,49004939.85251274
ENSG00000168928,37373223.17301023
ENSG00000198888,36374873.17106692
ENSG00000184009,32571660.24438161
ENSG00000198786,31749663.536115482
ENSG00000118785,31076982.614941705
ENSG00000166710,29237516.432885066
ENSG00000175535,25664341.86442376
ENSG00000157017,20007054.81017088
ENSG00000100316,19803182.50488218
ENSG00000219073,18154070.766758416
ENSG00000172016,17889703.969331715
ENSG00000168925,17481068.70130508
ENSG00000245532,16767478.726406999
ENSG00000075624,14842634.591059336
ENSG00000010438,13736701.04231918
ENSG00000130066,13572026.090768838
ENSG00000166922,13413194.163875533
ENSG00000182718,13170654.556046704
ENSG00000137673,11871887.986210832
ENSG00000100234,11441434.997950077
ENSG00000213639,10502574.080915913
ENSG00000111640,10491195.64648545
ENSG00000087460,10305172.471737348
ENSG00000102265,9107735.820487395
ENSG00000096384,8712088.846177377
ENSG00000120885,8583493.060574563
ENSG00000164756,8482368.906809455
ENSG00000164266,8428448.702570828
ENSG00000197249,8329877.157288526
ENSG00000123836,8201938.838790633
ENSG00000169903,8006140.116120333
ENSG00000026508,7851232.412501345
ENSG00000150991,7738768.3850178905
ENSG00000158516,7609683.833735232
ENSG00000165092,7112759.7054398805
ENSG00000111669,6885644.889828854
ENSG00000171951,6778002.799429635
ENSG00000109971,6430382.604570082
ENSG00000167552,6272778.261720445
ENSG00000080824,6053232.135334525
ENSG00000131711,5317318.223286566
ENSG00000092964,5189417.508927935
ENSG00000109472,4983049.166530513
ENSG00000142615,4908932.369906726
ENSG00000152254,4763068.594373606
ENSG00000170890,4594830.671065388
ENSG00000074800,4547805.991728129
ENSG00000112096,4514847.693919482
ENSG00000196136,4413359.298468652
ENSG00000211445,4347383.81819166
ENSG00000123416,4282982.268975199
ENSG00000102837,4231418.961671334
ENSG00000079689,4215132.270608702
ENSG00000170345,4179236.697698853
ENSG00000167996,3977403.634945874
ENSG00000156976,3878926.550900704
ENSG00000120738,3876366.9676530366
ENSG00000149925,3865284.1859712303
ENSG00000164924,3662944.3764506765
ENSG00000113369,3565358.222565612
ENSG00000124766,3542483.1958976984
ENSG00000113140,3410228.9486077186
ENSG00000124193,3251068.829351689
ENSG00000174748,3189522.0183450584
ENSG00000171105,3003747.2339050155
ENSG00000112308,2953939.176062995
ENSG00000143933,2952059.6630206434
ENSG00000054356,2637983.688659316
ENSG00000044574,2605842.972362104
ENSG00000085063,2603850.1759545244
ENSG00000089157,2572995.6195506086
ENSG00000139644,2538596.67064053
ENSG00000108654,2440344.6081872913
ENSG00000132475,2357233.695207054
ENSG00000115414,2332722.037559654
ENSG00000132669,2303825.28370152
ENSG00000062716,2257121.6633137157
