PC,Variance_Explained
PC1,0.01898192099030637
PC2,0.014922501742982841
PC3,0.011807572821175246
PC4,0.007704363780816096
PC5,0.006990658274397615
PC6,0.006779586986226457
PC7,0.006432669366690754
PC8,0.006142623847311728
PC9,0.005582740193325626
PC10,0.005453231966333756
