ID_REF,GSM631755,GSM631756,GSM631757,GSM631758,GSM631759,GSM631760,GSM631761,GSM631762,GSM631763,GSM631764,GSM631765,GSM631766,GSM631767
"""200017_at""",11.1571,11.1937,11.1571,10.4827,11.1013,10.8118,10.7032,11.286,10.8379,10.2011,10.2731,10.0407,10.7452
"""200018_at""",11.2219,11.4704,10.7001,11.313,11.036,11.1143,10.1388,11.0372,10.7917,10.1454,10.5893,10.2829,10.5355
"""200019_s_at""",11.831,11.7357,11.2423,12.1674,12.0522,11.7394,11.7856,11.847,11.795,11.6335,11.4681,11.6153,11.5599
"""200020_at""",10.116,9.89102,9.46394,8.80544,9.8715,9.50855,10.142,9.86693,9.60426,9.12439,8.259,9.84285,8.67169
"""200021_at""",12.9169,12.4572,12.6227,12.2901,12.745,12.1212,12.89,12.777,12.8289,12.9425,13.0936,12.9566,12.8673
"""200022_at""",10.7874,11.0369,10.3487,11.2815,10.8445,10.8268,10.4439,10.508,10.0883,10.7063,10.6543,10.4564,9.9082
"""200023_s_at""",10.5385,10.8105,10.1062,10.7394,10.0279,10.7078,9.37867,10.8125,9.53426,9.23734,8.57636,9.72636,8.88233
"""200024_at""",10.8453,10.4298,10.2977,10.6804,11.0118,11.6436,10.2355,9.87548,9.42488,10.3823,10.9057,10.2126,9.86415
"""200025_s_at""",12.2031,12.3014,12.1295,12.5161,12.0501,12.0606,11.581,12.4572,12.4069,11.9619,12.0885,11.6797,11.9057
"""200026_at""",11.4553,11.6065,11.5768,11.2248,11.3895,11.347,10.878,11.8444,11.4464,10.9083,10.9797,11.1363,11.3163
"""200027_at""",10.3777,10.518,11.1273,10.023,10.7588,10.2764,10.6821,10.2283,9.9211,9.17246,8.59196,10.5601,9.16333
"""200028_s_at""",9.29577,9.05758,9.37997,8.82589,9.22341,8.91076,9.08376,9.27052,8.79033,8.70591,7.75518,8.88702,8.08513
"""200029_at""",11.4062,11.0613,10.2464,10.8036,10.824,10.7617,10.5225,10.7474,9.73562,10.5109,10.3264,10.3536,9.58586
"""200030_s_at""",11.8771,11.6825,11.4334,10.2662,11.359,11.9752,10.8264,10.9014,10.1441,9.10819,9.25375,10.3523,10.4056
"""200031_s_at""",12.5315,12.3522,12.1245,12.5639,12.1975,12.3504,12.123,12.0794,11.3724,12.3426,12.0723,12.1069,11.61
"""200032_s_at""",12.321,12.4522,12.2084,12.0745,12.2402,12.7756,12.0126,12.157,12.1406,11.7122,11.3829,11.9922,12.1849
"""200033_at""",10.9349,10.8829,11.2012,9.83385,11.198,11.0089,11.1631,10.2341,9.07202,9.14983,8.33774,10.6876,9.10959
"""200034_s_at""",11.9888,11.9427,11.8529,11.4689,11.6056,11.7037,11.2315,11.4042,10.3801,10.2245,10.8248,10.9895,10.5231
"""200035_at""",7.5541,8.09441,7.82707,7.99624,7.72043,7.51777,7.96064,8.12235,7.84872,8.68517,8.77891,8.01967,7.7124
"""200036_s_at""",10.5582,10.5979,10.1758,10.4716,10.8931,11.2022,9.26494,9.64538,8.69948,8.8927,9.48804,9.10918,9.33379
"""200037_s_at""",9.20529,9.30064,8.96761,7.66458,9.14336,8.55801,8.14807,9.00244,7.82357,7.32201,7.92519,8.79617,7.57465
"""200038_s_at""",12.2338,12.0529,12.1104,11.5177,12.0407,12.6881,11.5927,11.4222,10.6644,10.0128,10.8731,11.2587,11.0131
"""200039_s_at""",9.51152,9.14886,8.60167,8.63662,9.20055,8.81425,9.00378,9.11551,9.64564,8.81753,8.01978,8.52897,8.12859
"""200040_at""",9.56682,9.79429,9.86087,8.8165,9.92019,9.23647,9.62168,9.33553,9.02392,8.58495,8.43178,9.58197,9.16268
"""200041_s_at""",9.54933,9.13674,8.51234,10.3383,9.94341,9.72481,9.39152,9.36241,8.63427,9.67848,9.78586,9.68098,8.82312
"""200042_at""",8.91011,8.70642,8.78779,7.22407,8.93514,8.94121,8.83365,7.97234,7.47038,7.16089,6.89484,7.95407,7.40034
"""200043_at""",9.42728,9.12718,9.54691,8.8085,8.84326,9.30023,9.04411,8.83276,8.62171,8.49675,8.17251,8.35584,8.07227
"""200044_at""",8.59891,8.41419,8.36499,8.42756,8.40111,8.92961,8.38418,8.31413,7.72203,6.98787,6.87599,8.22357,7.32538
"""200045_at""",8.79855,8.3974,8.06253,7.9413,9.45796,8.47334,8.64517,7.80251,7.35906,8.40783,7.9846,8.29526,7.8974
"""200046_at""",10.1987,9.28506,9.40784,8.91138,9.71354,9.71961,9.49024,8.61572,8.36049,8.69542,7.18261,9.21322,7.25372
"""200047_s_at""",9.72505,9.98544,9.95264,9.39524,9.82572,9.864,9.89361,9.64132,9.37926,8.72687,8.41016,9.86479,8.63673
"""200048_s_at""",10.3604,10.7342,10.7338,11.0505,10.1977,10.433,10.2759,10.3476,9.88823,10.173,8.64956,9.86596,9.09449
"""200049_at""",7.08606,7.16425,7.29397,6.97216,6.20267,6.55167,6.63436,6.55357,6.74645,7.04605,7.01846,6.48837,6.66459
"""200050_at""",8.08099,8.08862,8.2418,6.85833,7.67461,7.90881,7.93402,7.48353,7.38124,6.38834,5.97209,7.94275,5.90898
"""200051_at""",6.55301,6.85594,6.57908,6.73525,6.90315,6.5223,6.8859,7.14238,6.68847,6.47389,6.79803,6.78886,6.82957
"""200052_s_at""",8.73432,7.59112,7.63126,6.11488,9.06713,8.69665,7.63094,5.83778,5.13072,5.28205,5.10885,6.08165,6.23212
"""200053_at""",8.65454,8.37548,7.9189,8.59537,8.05675,8.59505,8.43293,8.24513,8.59996,8.38076,8.3821,8.79965,8.16791
"""200054_at""",7.55829,7.71398,7.03509,6.73156,7.97821,7.32075,7.01807,7.63568,7.4447,7.04139,7.04647,6.55246,7.15747
"""200055_at""",9.34269,9.26615,8.63937,9.42655,8.80964,9.52553,8.65646,9.06688,8.39407,8.85156,8.76505,8.86772,7.91935
"""200056_s_at""",5.36885,5.60383,6.25394,3.62794,5.08844,4.90954,4.87096,4.54181,3.49805,3.39365,3.26505,3.67739,4.40778
"""200057_s_at""",10.3123,10.0589,10.1787,10.2993,10.2737,9.82559,10.2826,9.26003,8.76793,10.048,8.98358,10.5801,8.73165
"""200058_s_at""",9.23484,9.54005,9.08361,8.47113,9.46837,8.11299,9.48036,10.0431,8.99952,8.23849,7.94723,9.5804,8.82852
"""200059_s_at""",9.86489,8.71233,8.68336,8.2312,9.44284,10.2151,8.56773,7.26832,7.91919,6.73296,7.28166,8.28591,7.85304
"""200060_s_at""",9.36777,8.95555,9.68482,9.31824,9.70199,9.23318,9.48121,9.47181,8.92028,8.81691,9.33402,8.94854,9.17161
"""200061_s_at""",11.6733,11.3179,10.8122,11.4979,11.1632,11.3186,10.5091,11.6126,11.5262,11.0364,11.0579,11.0345,10.7997
"""200062_s_at""",12.1379,12.5666,12.0614,11.9353,12.0499,12.4248,11.4309,11.9207,11.2008,10.4364,10.6532,10.9857,11.249
"""200063_s_at""",12.2553,11.9311,11.7483,11.0773,12.5332,11.8328,11.697,11.6233,11.4554,9.43607,9.59624,11.2762,11.219
"""200064_at""",10.9986,10.1516,10.1594,9.40727,11.4621,10.5251,10.9412,9.11525,8.94477,9.63242,9.30757,9.72074,8.98888
"""200065_s_at""",10.617,9.75941,10.1081,10.0222,11.0433,10.2724,10.6123,9.30527,9.34938,9.82841,9.37622,10.2914,9.62039
"""200066_at""",9.25422,9.07611,9.20475,7.83501,8.73773,8.32752,9.20282,8.82751,8.13819,7.42642,7.34916,8.44475,7.98602
"""200067_x_at""",9.46693,9.65447,10.1499,7.90582,8.95623,9.4275,9.24204,8.9705,7.81608,7.22909,7.28022,8.41114,8.27453
"""200068_s_at""",11.0693,10.6531,10.8459,10.8109,10.9966,10.8215,11.0773,9.78648,9.90107,10.1848,9.8355,11.1575,9.608
"""200069_at""",6.41082,6.27585,6.86301,6.23516,6.88037,5.74799,6.94802,6.12348,6.20029,6.02023,5.9194,7.1737,6.16525
"""200070_at""",7.6099,7.7152,7.05229,7.3151,7.78735,7.23028,7.64687,7.59534,7.29014,7.39019,7.58876,7.73371,6.28906
"""200071_at""",7.21473,6.71558,7.1408,5.94988,7.17262,6.36725,6.97572,5.67961,5.33643,5.79191,5.48125,7.0103,5.57947
"""200072_s_at""",10.6546,9.65639,9.84912,7.93247,9.93751,10.2562,10.1688,9.5959,8.8113,8.01089,7.56632,9.6174,8.58309
"""200073_s_at""",9.26484,8.57014,8.71345,7.78626,9.71079,8.83032,9.06483,8.33799,8.33891,7.99319,7.55678,8.96544,8.27917
"""200074_s_at""",10.797,10.4282,9.71751,10.0713,10.6611,10.7975,9.72423,9.67117,8.99569,8.49562,8.73893,9.9614,9.40254
"""200075_s_at""",8.3606,8.48637,8.063,6.89754,7.80641,8.1871,7.67043,8.28606,7.06843,6.8196,6.48438,7.47245,6.91342
"""200076_s_at""",7.3316,7.00587,7.12855,7.47176,7.09443,7.27401,6.76687,7.10329,6.92308,7.22076,7.05603,6.83579,6.82236
"""200077_s_at""",11.5082,11.4723,11.4029,10.6771,11.2872,11.3364,11.708,11.1565,11.0683,11.0721,10.3812,11.5069,10.3206
"""200078_s_at""",9.33946,8.36967,8.70254,8.03043,9.79973,9.99218,9.26562,8.18505,7.15062,8.17523,8.47919,8.19414,7.85887
"""200079_s_at""",10.1976,10.0162,9.19358,9.08952,9.81897,9.63165,9.25279,9.57784,9.37439,8.51669,7.76702,9.05774,8.50268
"""200080_s_at""",10.0382,10.2679,10.3384,9.04135,9.29053,9.58423,10.5724,10.1169,9.47574,8.65867,8.2702,10.0787,8.90812
"""200081_s_at""",11.3047,10.6995,9.84051,9.99789,11.3586,11.8175,10.7614,10.7064,10.9309,7.76775,8.62463,10.762,11.1465
"""200082_s_at""",8.59034,8.69008,7.96064,7.61503,8.57103,8.6988,7.76115,8.28219,6.593,5.83346,6.77181,6.57414,7.02306
"""200083_at""",8.92294,8.95756,8.91469,8.63227,8.82867,8.39945,9.03241,8.7768,8.75234,8.70151,8.34916,9.45068,7.56542
"""200084_at""",8.9574,8.33101,8.77261,6.81269,8.40496,9.01003,8.37802,7.06823,6.17301,6.0779,6.04025,7.55162,7.27643
"""200085_s_at""",8.56229,9.24785,8.53921,8.64794,8.21195,7.96021,8.45094,9.39338,8.77569,8.33767,8.04142,8.43085,7.04452
"""200086_s_at""",9.28087,9.94987,9.93501,9.21791,9.10101,9.14224,9.35392,10.4255,9.5515,8.76307,8.64651,9.18115,8.96578
"""200087_s_at""",9.63342,9.27187,9.1607,9.4001,8.74888,9.15798,8.55739,8.6488,7.56324,8.213,7.26991,8.32434,7.35401
"""200088_x_at""",12.4785,12.31,12.3754,12.3597,12.3326,11.9763,11.9268,12.1951,11.4917,11.1437,11.3035,11.8531,11.4444
"""200089_s_at""",10.9903,11.506,10.9425,10.989,11.8933,12.2272,10.8771,11.1481,10.5077,10.0874,9.9518,11.1472,10.1085
"""200090_at""",9.96839,10.0229,10.0911,9.13286,9.96747,9.71411,9.7875,10.0342,9.21379,8.79868,8.71691,9.58602,8.83139
"""200091_s_at""",10.032,10.5349,9.82101,10.2188,9.92169,9.99736,9.67646,10.3798,10.2181,9.23374,9.48702,9.69445,9.9779
"""200092_s_at""",11.2357,11.5967,11.3227,11.6409,11.6084,11.3961,11.0309,11.9497,11.7382,11.2339,11.1822,11.0766,11.4434
"""200093_s_at""",9.39626,9.65199,9.59965,7.8971,8.67212,8.40524,8.98485,8.96311,8.2529,7.43485,6.74612,7.94625,7.47183
"""200094_s_at""",10.1408,10.9296,10.4638,10.4163,10.2438,10.0503,10.2142,10.347,9.86785,9.87527,9.6924,10.2799,9.41658
"""200095_x_at""",12.3077,12.5967,12.3437,12.4689,12.2069,12.1089,12.0964,12.8262,12.7,12.1858,12.2656,12.204,12.3203
"""200096_s_at""",8.98457,8.30386,8.11742,7.35423,8.8635,8.46555,8.89799,7.8149,6.99181,7.2012,6.47777,8.63534,6.61422
"""200097_s_at""",9.58709,9.55889,9.94622,6.75605,9.84205,10.4816,9.65079,8.88028,6.44198,5.76279,7.12381,8.56245,8.20581
"""200098_s_at""",9.36614,9.84844,9.20186,9.63695,9.042,9.18562,9.39158,9.41778,9.09121,9.33931,8.77144,9.09888,8.32656
"""200099_s_at""",12.4725,12.2376,11.9976,11.5877,11.8126,12.2481,11.0715,11.3281,10.844,9.68884,10.417,11.1274,11.0853
"""200593_s_at""",8.08412,7.17455,7.05646,6.69219,8.18015,7.85897,8.00383,6.96191,7.81372,6.77358,6.90372,7.28921,6.89148
"""200594_x_at""",10.5239,10.2791,9.91821,9.28253,10.0572,9.72182,9.98525,10.0829,9.83381,9.78123,8.2753,9.79268,9.18969
"""200595_s_at""",8.54629,8.96696,8.89762,8.45815,9.11465,9.05496,8.66127,8.8392,8.2194,7.41933,7.46135,8.44425,7.46585
"""200596_s_at""",8.19398,8.60383,7.61811,6.36168,8.69479,7.81138,8.24347,8.1826,8.33399,6.22697,6.01817,8.36403,7.70942
"""200597_at""",6.71516,6.53905,6.73702,6.69567,6.54134,6.63566,7.27119,5.87483,5.28164,5.74186,5.81813,5.63399,5.37321
"""200598_s_at""",7.76108,7.2896,7.05792,5.02371,8.16193,7.23804,7.80975,7.08921,7.80655,4.95454,5.55567,7.82948,6.97657
"""200599_s_at""",9.38404,9.18364,9.37164,9.28435,10.0287,9.43696,9.88068,8.03532,7.73172,8.29696,6.92084,9.78085,7.17342
"""200600_at""",9.6347,8.69126,7.9542,6.15948,9.77323,7.68477,7.97307,8.59711,8.50131,6.52256,7.89324,9.24063,7.69338
"""200601_at""",7.64968,7.7081,7.01931,7.84681,8.51336,7.20617,7.6823,8.43719,7.62913,8.31252,8.85622,8.37345,7.96716
"""200602_at""",9.02293,9.6938,9.70918,8.84385,9.42254,8.31145,9.9274,10.1142,9.55227,9.59663,9.39663,10.0106,8.41334
"""200603_at""",9.3333,9.38185,10.1453,7.27906,8.8395,8.79027,9.55131,8.28428,6.71137,6.8693,6.22172,8.53564,7.50167
"""200604_s_at""",7.20354,5.79524,6.12706,5.14383,6.73668,6.76118,6.60932,4.62944,6.06331,5.97026,5.32209,7.4661,5.80357
"""200605_s_at""",8.13733,7.65723,9.36668,4.88037,7.57348,8.00503,8.09825,5.07794,4.47583,3.99958,4.63202,5.80874,5.32267
"""200606_at""",9.6766,10.3185,10.6667,8.94289,10.5862,9.84902,10.4889,9.87833,9.30381,8.43669,8.77607,10.9837,9.69432
"""200607_s_at""",4.20487,3.65038,4.01494,3.75118,4.17199,4.4851,4.42248,3.84565,4.31215,3.88321,3.89794,4.07251,4.42248
"""200608_s_at""",7.86303,7.68272,8.31214,6.10269,7.95337,7.14485,7.95572,6.41752,5.67082,6.12024,5.45634,7.50763,6.22258
"""200609_s_at""",10.1053,9.72747,9.49044,8.95298,10.4907,9.63337,9.17874,9.54616,8.98596,8.40719,9.11337,9.025,8.96161
"""200610_s_at""",10.0627,9.90362,9.64806,9.05029,10.4239,10.1201,9.58086,9.34256,9.71114,8.99049,8.453,9.68167,8.9819
"""200611_s_at""",9.82337,9.41103,8.56171,7.68144,10.6446,9.45788,9.42544,9.25097,9.67905,8.09872,8.85943,9.5782,9.196
"""200612_s_at""",7.58193,7.55313,7.92119,6.04441,7.30359,6.84184,7.23427,7.4495,6.99707,7.10612,6.48427,7.00894,5.62648
"""200613_at""",9.08126,8.41013,8.48816,7.72438,8.73518,8.36623,8.96952,7.13312,6.47834,7.18246,6.48086,8.4399,6.11968
