PC,Variance_Explained
PC1,0.16012748541652505
PC2,0.05185696668040782
PC3,0.03538256327442188
PC4,0.026920484033356153
PC5,0.02011424146766345
PC6,0.017858870425041504
PC7,0.017279582481645402
PC8,0.0158023979090973
PC9,0.013674329990036621
PC10,0.012916140582647681
